pattern,metric,sign_flip_boundary,positive_providers,negative_providers,zero_providers
branch,internal_coherence_error_rate,False,,,"anthropic,gemini,openai"
branch,irp_monotonic_progress_rate,True,gemini,"anthropic,openai",
branch,irp_oscillation_rate,True,"anthropic,openai",gemini,
branch,misinterpretation_rate,True,"anthropic,openai",gemini,
branch,rework_cost_tokens,True,"anthropic,openai",gemini,
branch,self_contradiction_rate,False,gemini,,"anthropic,openai"
branch,stability_variance,True,"anthropic,openai",gemini,
branch,trace_completeness,False,,,"anthropic,gemini,openai"
branch,update_consistency,False,gemini,,"anthropic,openai"
conditional,internal_coherence_error_rate,False,,,"anthropic,gemini,openai"
conditional,irp_monotonic_progress_rate,False,,"anthropic,gemini,openai",
conditional,irp_oscillation_rate,False,"anthropic,gemini,openai",,
conditional,misinterpretation_rate,False,"anthropic,gemini,openai",,
conditional,rework_cost_tokens,False,"anthropic,gemini,openai",,
conditional,self_contradiction_rate,False,gemini,,"anthropic,openai"
conditional,stability_variance,False,"anthropic,gemini,openai",,
conditional,trace_completeness,False,,,"anthropic,gemini,openai"
conditional,update_consistency,False,gemini,,"anthropic,openai"
delta,internal_coherence_error_rate,False,,,"anthropic,gemini,openai"
delta,irp_monotonic_progress_rate,True,"anthropic,gemini",openai,
delta,irp_oscillation_rate,True,"gemini,openai",anthropic,
delta,misinterpretation_rate,True,"gemini,openai",anthropic,
delta,rework_cost_tokens,True,openai,"anthropic,gemini",
delta,self_contradiction_rate,False,gemini,,"anthropic,openai"
delta,stability_variance,True,"gemini,openai",anthropic,
delta,trace_completeness,False,,,"anthropic,gemini,openai"
delta,update_consistency,False,gemini,,"anthropic,openai"
hierarchical,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
hierarchical,irp_monotonic_progress_rate,True,gemini,"anthropic,openai",
hierarchical,irp_oscillation_rate,True,"anthropic,openai",gemini,
hierarchical,misinterpretation_rate,True,"anthropic,openai",gemini,
hierarchical,rework_cost_tokens,True,"anthropic,openai",gemini,
hierarchical,self_contradiction_rate,False,gemini,,"anthropic,openai"
hierarchical,stability_variance,True,"anthropic,openai",gemini,
hierarchical,trace_completeness,False,,gemini,"anthropic,openai"
hierarchical,update_consistency,False,,gemini,"anthropic,openai"
lazy,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
lazy,irp_monotonic_progress_rate,True,gemini,"anthropic,openai",
lazy,irp_oscillation_rate,True,"anthropic,openai",gemini,
lazy,misinterpretation_rate,True,"anthropic,openai",gemini,
lazy,rework_cost_tokens,True,anthropic,"gemini,openai",
lazy,self_contradiction_rate,False,,gemini,"anthropic,openai"
lazy,stability_variance,True,"anthropic,openai",gemini,
lazy,trace_completeness,False,,gemini,"anthropic,openai"
lazy,update_consistency,False,,gemini,"anthropic,openai"
