pattern,comparison,providers,n_all_total,mean_percent_n_weighted,median_percent_n_weighted,trimmed10_mean_percent_n_weighted,weighted_percent_provider_balanced_n_weighted,mean_cost_per_success_delta_tokens_n_weighted
delta,combo_vs_baseline,"anthropic,gemini,openai",12,-0.39082149999999655,3.812325833333334,-0.39082149999999655,3.3236262331868054,122.91666666666667
delta,combo_vs_compression_only,"anthropic,gemini,openai",12,25.372059083333337,27.7557675,25.372059083333337,25.91144471560931,443.0833333333333
delta,compression_only_vs_baseline,"anthropic,gemini,openai",12,-26.64542133333333,-26.774653333333333,-26.64542133333333,-25.623392097631775,-320.1666666666667
delta,principle_only_vs_baseline,"anthropic,gemini,openai",12,37.636204416666665,37.57798866666667,37.636204416666665,38.147649810701175,550.0833333333334
hierarchical,combo_vs_baseline,"anthropic,gemini,openai",27,36.281341222222224,41.695652,36.281341222222224,36.6750854731298,62.074074074074076
hierarchical,combo_vs_compression_only,"anthropic,gemini,openai",27,39.16919766666667,48.140296666666664,39.16919766666667,40.671618195424635,281.3703703703704
hierarchical,compression_only_vs_baseline,"anthropic,gemini,openai",27,-9.636916666666664,0.20700533333333246,-9.636916666666664,-8.223788235236901,-219.2962962962963
hierarchical,principle_only_vs_baseline,"anthropic,gemini,openai",27,57.06423592592592,57.620532999999995,57.06423592592592,57.21195412005057,334.48148148148147
lazy,combo_vs_baseline,"anthropic,gemini,openai",27,9.655952481481483,-4.736801333333333,9.655952481481483,8.589243696833298,157.11111111111111
lazy,combo_vs_compression_only,"anthropic,gemini,openai",27,7.630471555555555,0.20754200000000025,7.630471555555555,9.449659916467342,121.5925925925926
lazy,compression_only_vs_baseline,"anthropic,gemini,openai",27,2.302755925925927,5.190224000000001,2.302755925925927,1.522722801794585,35.51851851851852
lazy,principle_only_vs_baseline,"anthropic,gemini,openai",27,36.28674096296296,33.241447,36.28674096296296,38.20671105476867,637.1111111111111
